nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:91 reward:706.0564003952147 avg_reward:707.975143785477 time_step91
EP:92 reward:730.5607277041017 avg_reward:708.2206392628533 time_step92
EP:93 reward:692.4269009579771 avg_reward:708.0508141197901 time_step93
EP:94 reward:730.5078946299325 avg_reward:708.2897192316001 time_step94
EP:95 reward:699.7352570379986 avg_reward:708.1996722611411 time_step95
EP:96 reward:654.2880786483607 avg_reward:707.638093161008 time_step96
EP:97 reward:721.6693620057902 avg_reward:707.7827454171398 time_step97
EP:98 reward:692.1947392252553 avg_reward:707.6236841294676 time_step98
EP:99 reward:676.5596005746299 avg_reward:707.3099055077016 time_step99
EP:100 reward:714.8486168044008 avg_reward:707.3852926206687 time_step100
EP:101 reward:690.9689074695732 avg_reward:707.6843015339692 time_step101
EP:102 reward:691.3773838588255 avg_reward:707.7625723665775 time_step102
EP:103 reward:706.017069709014 avg_reward:708.2798987861144 time_step103
EP:104 reward:725.0154630888978 avg_reward:708.5327008466232 time_step104
EP:105 reward:730.4386903866492 avg_reward:708.7772584305479 time_step105
EP:106 reward:743.3011827028364 avg_reward:708.2249949180746 time_step106
EP:107 reward:721.7101588818831 avg_reward:708.3690656452843 time_step107
EP:108 reward:692.3297507856237 avg_reward:708.7514402601635 time_step108
EP:109 reward:754.4116656202475 avg_reward:709.0793436806168 time_step109
EP:110 reward:692.235914281893 avg_reward:709.0970925500882 time_step110
EP:111 reward:789.7835855252949 avg_reward:709.6509999106876 time_step111
EP:112 reward:699.7755974917166 avg_reward:708.6634805461032 time_step112
EP:113 reward:743.259722030694 avg_reward:708.7925112831075 time_step113
EP:114 reward:754.5019429116609 avg_reward:709.7231460142824 time_step114
EP:115 reward:760.350335435315 avg_reward:710.1097838895757 time_step115
EP:116 reward:693.3670567654628 avg_reward:710.0458400015564 time_step116
EP:117 reward:661.4691751070761 avg_reward:709.3558082320639 time_step117
EP:118 reward:676.7087905720803 avg_reward:708.872976011373 time_step118
EP:119 reward:661.068016139527 avg_reward:708.5612545190147 time_step119
EP:120 reward:699.7770265959396 avg_reward:708.6365760730336 time_step120
EP:121 reward:661.4384697941736 avg_reward:708.3293599732127 time_step121
EP:122 reward:706.017069709014 avg_reward:708.774838919232 time_step122
EP:123 reward:706.0564003952147 avg_reward:708.489719477897 time_step123
EP:124 reward:714.7618174629356 avg_reward:708.8012464454804 time_step124
EP:125 reward:690.461027334774 avg_reward:708.7954389632363 time_step125
EP:126 reward:692.1149162360291 avg_reward:708.8069679846424 time_step126
EP:127 reward:690.461027334774 avg_reward:708.7873974236337 time_step127
EP:128 reward:692.1287029444596 avg_reward:708.5606163727681 time_step128
EP:129 reward:699.8343082865122 avg_reward:708.4112638563254 time_step129
EP:130 reward:692.2635958614982 avg_reward:708.4097189805839 time_step130
EP:131 reward:654.284427755315 avg_reward:708.0302545629908 time_step131
EP:132 reward:692.2635958614982 avg_reward:708.0391166830175 time_step132
EP:133 reward:692.2071683360849 avg_reward:707.7448739351421 time_step133
EP:134 reward:676.5673785119149 avg_reward:707.6746469679524 time_step134
EP:135 reward:692.1871831388382 avg_reward:707.6854694081053 time_step135
EP:136 reward:676.6135292666129 avg_reward:707.5274238664149 time_step136
EP:137 reward:684.2280238638201 avg_reward:706.736396686401 time_step137
EP:138 reward:730.3985454379144 avg_reward:707.499336171068 time_step138
EP:139 reward:654.284427755315 avg_reward:706.6088348446222 time_step139
EP:140 reward:676.5790083087604 avg_reward:706.0633028734301 time_step140
EP:141 reward:699.7614455673961 avg_reward:706.4465326311623 time_step141
EP:142 reward:721.7221094500359 avg_reward:706.8157598277738 time_step142
EP:143 reward:714.7618174629356 avg_reward:706.6599048767281 time_step143
EP:144 reward:684.9327454931699 avg_reward:706.2934547491112 time_step144
EP:145 reward:692.1600797762469 avg_reward:704.0439964940408 time_step145
