nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online/model is already exist!
=========================== finish pre train! ===========================
EP:91 reward:699.7600856567454 avg_reward:700.7985881570816 time_step91
EP:92 reward:734.9226423775475 avg_reward:701.1695017899127 time_step92
EP:93 reward:755.2107686524312 avg_reward:701.7505906809076 time_step93
EP:94 reward:677.8557035810587 avg_reward:701.4963897543134 time_step94
EP:95 reward:660.8026193188485 avg_reward:701.0680342760453 time_step95
EP:96 reward:676.0881940547863 avg_reward:700.8078276070738 time_step96
EP:97 reward:743.7548165847091 avg_reward:701.2505800707609 time_step97
EP:98 reward:743.6926637521301 avg_reward:701.6836625573054 time_step98
EP:99 reward:708.3679484960004 avg_reward:701.7511805970902 time_step99
EP:100 reward:748.8638244044151 avg_reward:702.2223070351633 time_step100
EP:101 reward:677.9195922559975 avg_reward:702.0042116722278 time_step101
EP:102 reward:705.7318790122504 avg_reward:702.003920249156 time_step102
EP:103 reward:687.1575121027105 avg_reward:702.2721708371904 time_step103
EP:104 reward:678.2634778420464 avg_reward:702.2940184864987 time_step104
EP:105 reward:767.0124170620592 avg_reward:702.5276574261678 time_step105
EP:106 reward:658.507558306974 avg_reward:700.9968225276441 time_step106
EP:107 reward:767.023104890049 avg_reward:701.7020912959663 time_step107
EP:108 reward:735.3496463702658 avg_reward:702.0913232486424 time_step108
EP:109 reward:767.0658886380598 avg_reward:702.9605127004381 time_step109
EP:110 reward:743.7569003027166 avg_reward:703.1414600471636 time_step110
EP:111 reward:643.8682945753058 avg_reward:702.582341741984 time_step111
EP:112 reward:643.4947944703028 avg_reward:701.9685370086563 time_step112
EP:113 reward:693.3300728038856 avg_reward:701.7438456713297 time_step113
EP:114 reward:728.8870018302623 avg_reward:702.4717960034069 time_step114
EP:115 reward:668.5039048809143 avg_reward:701.9002195008679 time_step115
EP:116 reward:668.4585129199992 avg_reward:701.642743592296 time_step116
EP:117 reward:677.9307846913421 avg_reward:701.5144587417083 time_step117
EP:118 reward:660.861765202897 avg_reward:701.4601786424032 time_step118
EP:119 reward:687.2830919860194 avg_reward:701.0763947344925 time_step119
EP:120 reward:678.3189919908687 avg_reward:700.9172057456913 time_step120
EP:121 reward:725.7072853485116 avg_reward:701.3955976233098 time_step121
EP:122 reward:767.1452555605836 avg_reward:701.8097791593722 time_step122
EP:123 reward:715.7761993728265 avg_reward:702.3048056783863 time_step123
EP:124 reward:715.7473796331409 avg_reward:702.589901811896 time_step124
EP:125 reward:678.2848761161948 avg_reward:702.8117890458955 time_step125
EP:126 reward:743.7027632122935 avg_reward:702.9981850494926 time_step126
EP:127 reward:811.6360583843378 avg_reward:704.6803247863108 time_step127
EP:128 reward:680.1929888923788 avg_reward:703.4961125038055 time_step128
EP:129 reward:767.1101898658229 avg_reward:704.6771692796008 time_step129
EP:130 reward:649.0486680312782 avg_reward:704.4072917416364 time_step130
EP:131 reward:656.5562349533084 avg_reward:704.2455428563544 time_step131
EP:132 reward:658.5510255687548 avg_reward:704.1684934976283 time_step132
EP:133 reward:743.7338003788561 avg_reward:704.6956987100581 time_step133
EP:134 reward:811.6767466716032 avg_reward:706.0518338388798 time_step134
EP:135 reward:696.4045788806643 avg_reward:705.8577371830492 time_step135
EP:136 reward:696.019674597254 avg_reward:705.8762852013514 time_step136
EP:137 reward:694.2061037771919 avg_reward:706.2327885623806 time_step137
EP:138 reward:649.5049741027161 avg_reward:705.4707569411028 time_step138
EP:139 reward:715.8242477873364 avg_reward:705.4715686216198 time_step139
EP:140 reward:677.8658013762025 avg_reward:705.4487572007969 time_step140
EP:141 reward:725.6614947466331 avg_reward:705.832841248442 time_step141
EP:142 reward:811.6170318859638 avg_reward:707.0767530963966 time_step142
EP:143 reward:725.7402992910183 avg_reward:706.2174360217409 time_step143
EP:144 reward:767.0673246346889 avg_reward:707.2490798581056 time_step144
EP:145 reward:656.455828368036 avg_reward:706.6559817876528 time_step145
EP:146 reward:647.2474422360369 avg_reward:705.9701260649417 time_step146
EP:147 reward:668.5692183843903 avg_reward:704.984847766221 time_step147
EP:148 reward:710.2708797383041 avg_reward:705.2156295535854 time_step148
EP:149 reward:725.7266410441746 avg_reward:705.7928400771436 time_step149
EP:150 reward:680.1469434584808 avg_reward:705.8156285358617 time_step150
EP:151 reward:756.6555554503516 avg_reward:706.9657347344197 time_step151
EP:152 reward:668.0075488237143 avg_reward:706.4008981613017 time_step152
EP:153 reward:767.0658886380598 avg_reward:707.386904894891 time_step153
EP:154 reward:654.2531039134951 avg_reward:706.2582855969995 time_step154
EP:155 reward:743.7021860449191 avg_reward:706.0247707961024 time_step155
EP:156 reward:721.1543763793418 avg_reward:706.650498145115 time_step156
EP:157 reward:743.6654882700523 avg_reward:705.6993739876051 time_step157
EP:158 reward:680.1922836940371 avg_reward:705.4867339394093 time_step158
EP:159 reward:908.5108313040513 avg_reward:707.3148789972479 time_step159
EP:160 reward:656.0078729276081 avg_reward:706.3228500399996 time_step160
EP:161 reward:743.7321928487776 avg_reward:706.8878799993997 time_step161
EP:162 reward:811.6247513936859 avg_reward:707.566760027181 time_step162
EP:163 reward:694.1708990396926 avg_reward:707.7065391286541 time_step163
EP:164 reward:743.6844235267715 avg_reward:708.3307699859828 time_step164
EP:165 reward:743.7288373877682 avg_reward:709.0830381485628 time_step165
EP:166 reward:755.5791197569138 avg_reward:709.641005657098 time_step166
EP:167 reward:660.3748459505437 avg_reward:709.2847881744816 time_step167
EP:168 reward:667.4565443820449 avg_reward:708.6060149905408 time_step168
EP:169 reward:668.5039048809143 avg_reward:708.1330619739846 time_step169
EP:170 reward:699.7402758128566 avg_reward:707.6933938118494 time_step170
EP:171 reward:696.0262173114245 avg_reward:707.8706806782402 time_step171
EP:172 reward:668.0818755681212 avg_reward:707.5080447420952 time_step172
EP:173 reward:743.7522930518971 avg_reward:708.0729558785289 time_step173
EP:174 reward:767.0881689525205 avg_reward:708.07309985049 time_step174
EP:175 reward:727.5419772456677 avg_reward:708.7631050128532 time_step175
EP:176 reward:743.713109213982 avg_reward:709.4398627887613 time_step176
EP:177 reward:660.405161812214 avg_reward:708.7873685514231 time_step177
EP:178 reward:689.0050871419506 avg_reward:708.8050434816115 time_step178
EP:179 reward:676.0787129112263 avg_reward:708.782855037699 time_step179
EP:180 reward:677.8557035810587 avg_reward:708.9537290022954 time_step180
EP:181 reward:668.4747462940239 avg_reward:709.052909486906 time_step181
EP:182 reward:677.9307846913421 avg_reward:708.6748149387588 time_step182
EP:183 reward:705.7610213194549 avg_reward:708.7152971808999 time_step183
EP:184 reward:666.3041224962271 avg_reward:708.3809575249023 time_step184
EP:185 reward:798.5846261235369 avg_reward:709.077933767835 time_step185
EP:186 reward:712.3300003541455 avg_reward:709.3748486817307 time_step186
EP:187 reward:725.6615551348012 avg_reward:710.1372414687926 time_step187
EP:188 reward:732.6678865905468 avg_reward:710.9033031985241 time_step188
EP:189 reward:743.702643157004 avg_reward:711.7369107151148 time_step189
EP:190 reward:715.759801997605 avg_reward:711.4577884068692 time_step190
EP:191 reward:727.4204755420559 avg_reward:711.7343923057223 time_step191
EP:192 reward:715.7761993728265 avg_reward:711.542927875675 time_step192
EP:193 reward:658.5570835699867 avg_reward:710.5763910248506 time_step193
EP:194 reward:731.0792848602819 avg_reward:711.108626837643 time_step194
EP:195 reward:676.0364218277052 avg_reward:711.2609648627317 time_step195
EP:196 reward:687.2291969087652 avg_reward:711.3723748912714 time_step196
EP:197 reward:743.7110887013431 avg_reward:711.3719376124377 time_step197
EP:198 reward:656.0617136174004 avg_reward:710.4956281110904 time_step198
EP:199 reward:686.8363230137495 avg_reward:710.280311856268 time_step199
EP:200 reward:724.8263060158948 avg_reward:710.0399366723826 time_step200
EP:201 reward:715.8127930849672 avg_reward:710.4188686806723 time_step201
EP:202 reward:811.7239630204706 avg_reward:711.4787895207546 time_step202
EP:203 reward:704.4542080126805 avg_reward:711.6517564798544 time_step203
EP:204 reward:715.8127930849672 avg_reward:712.0272496322837 time_step204
EP:205 reward:811.7239630204706 avg_reward:712.4743650918676 time_step205
EP:206 reward:656.1132326832314 avg_reward:712.4504218356302 time_step206
EP:207 reward:734.9711889870318 avg_reward:712.1299026766002 time_step207
EP:208 reward:798.612877160898 avg_reward:712.7625349845064 time_step208
EP:209 reward:811.7239630204706 avg_reward:713.2091157283305 time_step209
EP:210 reward:704.4542080126805 avg_reward:712.8160888054302 time_step210
EP:211 reward:663.3733751005957 avg_reward:713.0111396106829 time_step211
EP:212 reward:715.8008084184341 avg_reward:713.7341997501644 time_step212
EP:213 reward:696.4362935776145 avg_reward:713.7652619579018 time_step213
EP:214 reward:798.612877160898 avg_reward:714.462520711208 time_step214
EP:215 reward:694.2038802039574 avg_reward:714.7195204644383 time_step215
EP:216 reward:696.0222010869585 avg_reward:714.995157346108 time_step216
EP:217 reward:811.577235872134 avg_reward:716.3316218579159 time_step217
EP:218 reward:654.2337943338746 avg_reward:716.2653421492257 time_step218
EP:219 reward:811.6536926577678 avg_reward:717.5090481559432 time_step219
EP:220 reward:758.5508566422208 avg_reward:718.3113668024566 time_step220
EP:221 reward:811.6191141487182 avg_reward:719.1704850904588 time_step221
EP:222 reward:811.7239630204706 avg_reward:719.6162721650577 time_step222
EP:223 reward:656.5562349533084 avg_reward:719.0240725208625 time_step223
EP:224 reward:811.5910481593411 avg_reward:719.9825092061246 time_step224
EP:225 reward:715.8127930849672 avg_reward:720.3577883758122 time_step225
EP:226 reward:811.7239630204706 avg_reward:721.0380003738941 time_step226
EP:227 reward:700.8314932664213 avg_reward:719.9299547227149 time_step227
EP:228 reward:767.0996038778131 avg_reward:720.7990208725691 time_step228
EP:229 reward:811.6360583843378 avg_reward:721.2442795577542 time_step229
EP:230 reward:696.4438897029266 avg_reward:721.7182317744706 time_step230
EP:231 reward:811.6191141487182 avg_reward:723.2688605664248 time_step231
EP:232 reward:811.6360583843378 avg_reward:724.7997108945806 time_step232
EP:233 reward:811.6869070454879 avg_reward:725.479241961247 time_step233
