nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/model is already exist!
=========================== finish pre train! ===========================
EP:1 reward:72.76087856728442 avg_reward:72.76087856728442 time_step50
EP:2 reward:72.15030344006071 avg_reward:72.45559100367257 time_step100
EP:3 reward:71.7869827061143 avg_reward:72.23272157115315 time_step150
EP:4 reward:72.13160426030349 avg_reward:72.20744224344074 time_step200
EP:5 reward:80.04247594536766 avg_reward:73.77444898382612 time_step250
EP:6 reward:80.04247594536766 avg_reward:74.81912014408304 time_step300
EP:7 reward:80.04247594536766 avg_reward:75.56531382998084 time_step350
EP:8 reward:80.04247594536766 avg_reward:76.1249590944042 time_step400
EP:9 reward:80.04247594536766 avg_reward:76.56023874451125 time_step450
EP:10 reward:80.04247594536766 avg_reward:76.9084624645969 time_step500
EP:11 reward:80.04247594536766 avg_reward:77.19337278103059 time_step550
EP:12 reward:80.04247594536766 avg_reward:77.43079804472535 time_step600
EP:13 reward:80.04247594536766 avg_reward:77.63169634477475 time_step650
EP:14 reward:80.04247594536766 avg_reward:77.80389488767425 time_step700
EP:15 reward:80.04247594536766 avg_reward:77.9531336248538 time_step750
EP:16 reward:80.04247594536766 avg_reward:78.08371751988592 time_step800
EP:17 reward:80.04247594536766 avg_reward:78.19893860373779 time_step850
EP:18 reward:80.04247594536766 avg_reward:78.30135734493945 time_step900
EP:19 reward:80.04247594536766 avg_reward:78.39299516601461 time_step950
EP:20 reward:80.04247594536766 avg_reward:78.47546920498226 time_step1000
EP:21 reward:80.04247594536766 avg_reward:78.55008857357204 time_step1050
EP:22 reward:80.04247594536766 avg_reward:78.61792436319912 time_step1100
EP:23 reward:80.04247594536766 avg_reward:78.67986138851079 time_step1150
EP:24 reward:80.04247594536766 avg_reward:78.73663699504651 time_step1200
EP:25 reward:80.04247594536766 avg_reward:78.78887055305935 time_step1250
EP:26 reward:80.04247594536766 avg_reward:78.83708614507121 time_step1300
EP:27 reward:80.04247594536766 avg_reward:78.88173021174886 time_step1350
EP:28 reward:80.04247594536766 avg_reward:78.92318541652095 time_step1400
EP:29 reward:80.04247594536766 avg_reward:78.9617816416536 time_step1450
EP:30 reward:80.04247594536766 avg_reward:78.99780478511073 time_step1500
EP:31 reward:80.04247594536766 avg_reward:79.03150385479644 time_step1550
EP:32 reward:80.04247594536766 avg_reward:79.06309673262678 time_step1600
EP:33 reward:80.04247594536766 avg_reward:79.09277489058861 time_step1650
EP:34 reward:80.04247594536766 avg_reward:79.12070727455271 time_step1700
EP:35 reward:80.04247594536766 avg_reward:79.14704352229028 time_step1750
EP:36 reward:80.04247594536766 avg_reward:79.17191664515354 time_step1800
EP:37 reward:80.04247594536766 avg_reward:79.19544527488905 time_step1850
EP:38 reward:80.04247594536766 avg_reward:79.21773555569112 time_step1900
EP:39 reward:80.04247594536766 avg_reward:79.23888274517 time_step1950
EP:40 reward:80.04247594536766 avg_reward:79.25897257517495 time_step2000
EP:41 reward:80.04247594536766 avg_reward:79.27808241347233 time_step2050
