nohup: ignoring input
=========================== finish pre train! ===========================
EP:85 reward:1423.4847632907647 avg_reward:1398.7828393252992 time_step4250
EP:86 reward:1423.4847632907647 avg_reward:1399.0700709993164 time_step4300
EP:87 reward:1423.4847632907647 avg_reward:1399.3506996463443 time_step4350
EP:88 reward:1423.4847632907647 avg_reward:1399.6249503695765 time_step4400
EP:89 reward:1423.4847632907647 avg_reward:1399.893038155208 time_step4450
EP:90 reward:1423.4847632907647 avg_reward:1400.1551684344918 time_step4500
EP:91 reward:1423.4847632907647 avg_reward:1400.4115376087366 time_step4550
EP:92 reward:1423.4847632907647 avg_reward:1400.662333540063 time_step4600
EP:93 reward:1423.4847632907647 avg_reward:1400.9077360105005 time_step4650
EP:94 reward:1423.4847632907647 avg_reward:1401.14791715178 time_step4700
EP:95 reward:1423.4847632907647 avg_reward:1401.3830418479797 time_step4750
EP:96 reward:1423.4847632907647 avg_reward:1401.6132681130086 time_step4800
EP:97 reward:1423.4847632907647 avg_reward:1401.8387474447381 time_step4850
EP:98 reward:1423.4847632907647 avg_reward:1402.0596251574527 time_step4900
EP:99 reward:1423.4847632907647 avg_reward:1402.2760406941527 time_step4950
EP:100 reward:1423.4847632907647 avg_reward:1402.4881279201188 time_step5000
EP:101 reward:1423.4847632907647 avg_reward:1406.9093407750845 time_step5050
EP:102 reward:1423.4847632907647 avg_reward:1411.6117921502273 time_step5100
EP:103 reward:1423.4847632907647 avg_reward:1415.0374252314455 time_step5150
EP:104 reward:1423.4847632907647 avg_reward:1419.6364792940649 time_step5200
EP:105 reward:1423.4847632907647 avg_reward:1420.8159991675539 time_step5250
EP:106 reward:1423.4847632907647 avg_reward:1421.8516439903176 time_step5300
EP:107 reward:1423.4847632907647 avg_reward:1422.7078872157226 time_step5350
EP:108 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5400
EP:109 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5450
EP:110 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5500
EP:111 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5550
EP:112 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5600
EP:113 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5650
EP:114 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5700
EP:115 reward:1423.4847632907647 avg_reward:1423.38563373144 time_step5750
