dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
,,,,,,,,135.7850071,81.21383567,216.9988427
,,,,,,,,108.0935009,50.58775841,158.6812593
504.77,,,,,,252.507087,,363.6202487,29990.3011,30353.92135
396.2825714,,,,,,229.4823798,,1188.824525,46509.11821,47697.94274
,,,,,,,,88.74322451,41.85049792,130.5937224
,,,,,,,,98.91553541,70.34852271,169.2640581
,,,,,,,,145.5091376,84.59162168,230.1007593
,,,,,,,,133.0936217,73.04049159,206.1341133
483.2804286,,,,,,252.7471945,,848.7280128,63917.63338,64766.36139
421.1914286,,,,,,242.6730002,,1691.247611,59434.97652,61126.22413
,,,,,,,,110.1749838,71.07366602,181.2486498
,,,,,,,,87.39615355,49.74467112,137.1408247
,,,,,,,,126.7159451,58.5558405,185.2717856
,,,,,,,,109.82154,65.76812679,175.5896668
435.7275758,,,,,,243.460881,,430.4684618,56781.78409,57212.25255
293.5786538,,,,,,257.1087872,5393,439.283147,67914.48331,68353.76645
,,,,,,,,120.9058025,62.03855111,182.9443536
,,,,,,,,154.1738513,53.85941779,208.0332691
,,,,,,,,130.8960757,71.32813499,202.2242107
,,,,,,,,105.4533027,63.36962359,168.8229263
383.5833478,,,,,,252.7496765,,1775.796785,50098.14689,51873.94368
381.7158,,,,,,247.4424032,5435.586207,512.8663158,49329.02042,49841.88674
,,,,,,,,97.74225571,53.52915723,151.2714129
,,,,,,,,70.41736962,39.07185995,109.4892296
,,,,,,,,114.6087428,65.28052039,179.8892632
,,,,,,,,134.175217,66.91495659,201.0901736
320.2450323,,,,,,265.608734,4866.133333,462.238282,43429.38418,43891.62246
399.6912683,,,,,,243.535062,,535.6886435,64309.2273,64844.91595
,,,,,,,,141.4904735,75.24720637,216.7376799
,,,,,,,,127.3918605,60.01514084,187.4070013
,,,,,,,,155.0338342,80.59853226,235.6323665
,,,,,,,,86.08861747,33.09031234,119.1789298
297.524,,,,,,236.883728,3485.843318,766.1133626,51078.66541,51844.77877
471.403,,,,,,,,264.8918633,2706.493123,2971.384986
,,,,,,,,108.3100918,55.94216241,164.2522542
,,,,,,,,104.5229951,60.45705055,164.9800456
,,,,,,,,94.4855319,41.25305813,135.73859
,,,,,,,,112.6943707,74.44330064,187.1376713
447.3546333,,,,,,252.6132374,3143.5,787.8917859,61471.00095,62258.89274
41.777,,,,,,,,132.1679017,2881.583528,3013.75143
,,,,,,,,115.1191434,65.04719397,180.1663374
,,,,,,,,100.3295136,47.21388875,147.5434024
,,,,,,,,98.99947341,58.34649816,157.3459716
,,,,,,,,76.2013621,28.93270467,105.1340668
369.7948636,,,,,,259.651887,,349.6811796,38739.2149,39088.89608
25.738,,,,,,,,309.3048285,2354.434715,2663.739543
,,,,,,,,121.1709712,75.02676729,196.1977385
,,,,,,,,117.0905099,40.69417945,157.7846894
,,,,,,,,108.914885,66.35740218,175.2722872
,,,,,,,,158.2719813,80.56303311,238.8350144
453.3252222,,,,,,262.3749203,,516.6251853,55774.43441,56291.05959
546.410375,,,,,,234.694733,,464.5273855,36996.91132,37461.43871
,,,,,,,,87.28643341,42.10578521,129.3922186
,,,,,,,,128.0064003,64.92824641,192.9346467
,,,,,,,,97.40087873,50.97665555,148.3775343
,,,,,,,,99.99509828,41.22346944,141.2185677
