,period,gaslimit,transactionpool,connection,position,dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
0,5,15000000,1024 2048 3072 2048,ring,5,662.7101666666666,908.6828333333334,100,4998.6,4.9263690083333325,4265.1752380952385,8.275817333333336,4205.550449550449,27768.959297310015,721.8257391577131,28490.78503646773
1,5,15000000,1024 2048 3072 2048,ring,6,785.1220000000001,1135.5023999999999,100,4998.25,4.9630551218,4688.6966527196655,7.4039270000000075,4676.295704295704,36524.93377864793,96.62559023379016,36621.559368881724
2,5,15000000,1024 2048 3072 2048,ring,7,446.458,1029.587,100,4998.6,4.906714285833334,3900.700772200772,8.316439333333332,3965.353646353646,44408.19068089353,149.57396177170492,44557.764642665235
3,5,15000000,1024 2048 3072 2048,ring,8,748.5668,1327.4163999999998,100,4998.5,4.921882373800001,4752.0280172413795,6.927272000000004,4551.623376623376,22849.00193174501,74.05022537025113,22923.05215711526
4,5,15000000,1024 2048 3072 2048,ring,9,809.663,11488.580833333333,100,5003.6,4.841259049666667,4734.534671532847,8.085219,4667.104895104895,22731.45028598292,108.90856381728433,22840.358849800203
5,5,15000000,1024 2048 3072 2048,ring,10,442.63883333333337,827.5663333333335,100,4998.8,4.923587734833333,4233.356076759062,7.2218313333333235,4175.674325674326,31916.150488463936,133.9846185824153,32050.135107046353
6,5,15000000,1024 2048 3072 2048,tree,5,420.34099999999995,1141.826,100,4999.2,4.9827434435,4793.125673249551,7.837658666666668,4442.118881118881,28353.50026719597,673.4101839835101,29026.91045117948
7,5,15000000,1024 2048 3072 2048,tree,6,497.0443333333333,1025.2658333333331,100,4999,4.961429886833334,4337.79213483146,8.120113333333341,4390.546453546453,43902.1056661562,1727.8713629402757,45629.97702909648
8,5,15000000,1024 2048 3072 2048,tree,7,745.4294,1112.587,100,4998.5,4.987418548,4627.943025540275,8.116088999999992,4544.30969030969,73193.78820419627,1297.5384107054354,74491.3266149017
9,5,15000000,1024 2048 3072 2048,tree,8,779.9168333333333,1118.3170000000002,100,4998.4,4.947701962333333,4273.40293040293,10.828937333333332,4322.292707292708,54952.30624411673,1304.3614684656416,56256.66771258236
10,5,15000000,1024 2048 3072 2048,tree,9,560.8606666666666,10482.546166666667,100,5004.8,4.845334938666666,4642.79375,8.58147800000001,4729.483516483517,62126.11741966659,1703.5860974010286,63829.70351706762
11,5,15000000,1024 2048 3072 2048,tree,10,671.7461666666667,1155.8081666666665,100,4998.8,4.92522212,4324.175141242938,13.592028666666668,4073.5454545454545,54743.05678088718,2473.585771253132,57216.642552140314
12,5,15000000,1024 2048 3072 2048,random,5,873.5455000000001,965.2365,100,4998.2,4.916839584666666,4199.781651376147,11.97335533333333,4252.243756243756,57636.843024270995,1412.8863279203772,59049.729352191374
13,5,15000000,1024 2048 3072 2048,random,6,691.6216666666668,4627.381833333334,100,5003.2,4.8788071744999995,4261.5640495867765,8.43520666666667,4257.331668331668,76889.63518581657,1465.9052165018752,78355.54040231844
14,5,15000000,1024 2048 3072 2048,random,7,744.765,6787.648833333333,100,4996.6,4.836946199,4536.571428571428,6.622722999999993,4566.633366633367,43985.20826617958,1278.5000537230042,45263.70831990258
15,5,15000000,1024 2048 3072 2048,random,8,587.4693333333333,825.6821666666666,100,4998.6,4.905770873666667,4051.97609561753,7.18781466666666,4037.4845154845157,49822.6472732322,1542.1598916929913,51364.807164925194
