dbreadtime,dbwritetime,tps,committime,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
31.5185,,,,,,,,390.7548892,3734.683581,4125.43847
521.134375,1533.7625,50,4337.25,88.20009625,4248.790123,240.8806687,3967.053946,109.9012924,67.46718225,177.3684746
321.2637857,,,,,,234.571048,,322.9215816,23925.52137,24248.44296
400.7364667,1301.640875,50,4279,94.81079417,3725.239464,220.8286003,3526.165834,10976.98402,12351.2043,23328.18832
,,,,,,,,134.7762771,84.32083607,219.0971132
711.019375,1236.110125,50,4252.875,95.1662498,3718.944547,194.4094166,3413.4995,124.2087663,77.51104741,201.7198137
521.6191,,,,,,266.734978,,203.6584288,16878.72986,17082.38829
538.142875,1366.324625,50,4312,96.15482134,3747.394687,212.3473657,3517.354645,102.6957638,52.87844376,155.5742076
407.0016087,,,,,,235.981945,,266.9332248,24172.36095,24439.29418
545.2101579,1307.030625,50.00250013,4272.75,103.7515423,3771.529412,233.5210492,3438.281718,10990.66821,8081.306905,19071.97512
,,,,,,,,112.6760563,73.5915493,186.2676056
853.235375,1586.542125,49.9950005,4310.5,74.92458229,4574.418349,236.6728853,4300.486513,94.5961925,50.5143668,145.1105593
486.8149,,,,,,235.779488,,200.2913328,14093.81388,14294.10521
620.3065,1768.295625,50,4305.875,101.4779471,4393.54223,247.3710952,4280.513487,94.61514325,50.75909343,145.3742367
235.5624545,,,,,,230.4269481,4982.634146,257.5567359,16558.28102,16815.83776
545.22875,1276.351375,50,4262.125,68.67201658,5114.942593,272.7267848,4893.430569,11877.66383,5740.223531,17617.88736
,,,,,,,,94.90466132,39.26391019,134.1685715
841.615625,1416.481,50,4275.5,71.10603807,5322.059041,273.2477123,4902.440559,89.06098742,63.38334947,152.4443369
573.9139,,,,,,202.748485,,244.5202819,16428.63881,16673.15909
512.5485,1441.584,49.99750012,4363.25,61.88741451,3809.323636,220.7427967,3744.514486,101.9622932,56.99307426,158.9553674
346.8157391,,,,,,243.1063555,,341.7222996,33275.17891,33616.90121
583.3781667,1242.910125,49.99750012,,87.4525344,4496.321839,248.9971404,4288.605395,11230.41421,11343.45285,22573.86706
,,,,,,,,105.2392833,55.20526196,160.4445452
766.50325,2706.882875,50,4295,99.10693206,3642.373214,235.7540459,3479.240759,114.8581821,60.61959608,175.4777781
420.4346,,,,,,231.220018,,198.3685294,15079.64219,15278.01072
562.773875,1258.53425,50,4256.75,86.26591172,4155.967391,218.1711656,3962.014985,99.22717298,66.97834176,166.2055147
392.30915,,,,,,284.9731756,3799.8,374.133346,22282.1493,22656.28265
449.8822,1554.857875,50,4306,79.53321359,3650.819106,246.3538745,3603.170829,11363.4596,12516.85525,23880.31485
,,,,,,,,94.32803557,52.69105112,147.0190867
489.9045,1462.143375,50,4264.875,66.30673583,4400.075099,242.9705608,4260.948052,96.6705232,51.88327549,148.5537987
457.5533,,,,,,240.928953,,191.2234043,14312.35493,14503.57834
887.670375,1438.321125,50,4254.875,93.84714964,3829.518367,214.0741173,3672.774226,150.7130252,66.70005246,217.4130777
379.0362381,,,,,,241.2051579,,373.9337949,26161.85053,26535.78433
443.765875,1815.371625,50,4333.625,69.23306296,3943.801902,263.376081,3740.280719,11981.59437,75.4583755,12057.05275
,,,,,,,,108.2746068,75.1855136,183.4601204
946.9415,1387.58575,50,4288.625,96.33906628,3830.674699,270.4146108,3731.672328,101.2756841,53.97312299,155.2488071
361.7729,,,,,,251.33417,,206.6851589,14036.153,14242.83816
